type_document,categorie_recherche,numero,annee,objet,categorie,service_responsable,zone,mode_passation,budget_estime_mad,montant_attribue_mad,date_publication,date_limite,statut,attributaire,priorite,nature_donnees
marché public,marchés publics,MP-2025-097,2025,Fourniture de matériel de conditionnement,Équipements agricoles,Service irrigation,Ouarzazate,Appel d'offres ouvert,4900000,3883720,2025-02-14,2025-03-04,Clôturé,Aqua Démo Engineering 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-098,2025,Travaux de captage et de conduite,Travaux hydrauliques,Service logistique,Boumalne-Dadès,Appel d'offres simplifié,4125000,3657046,2025-01-10,2025-02-13,Attribué,Terroir Démo Services 2,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-099,2025,Travaux d'amélioration de l'accès aux exploitations,Aménagement rural,Service irrigation,Tinghir,Consultation,3700000,3219420,2025-06-04,2025-07-13,Clôturé,Valley Démo Maintenance 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-100,2025,Maintenance préventive des installations,Maintenance,Service équipements,Tinghir,Consultation,225000,202258,2025-05-11,2025-06-06,Attribué,Palmier Démo Logistique,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-101,2025,Construction d'ouvrages de protection hydraulique,Travaux hydrauliques,Service des marchés,Ouarzazate,Consultation,5500000,4717411,2025-09-07,2025-10-04,Clôturé,Réseau Démo Technologies,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-102,2025,Travaux de réhabilitation d'un canal principal,Travaux hydrauliques,Service équipements,Zagora,Consultation,3625000,3197209,2025-01-22,2025-02-08,Clôturé,Hydro Démo Conseil 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-103,2025,Prestations de transport pour équipes techniques,Logistique,Service informatique,Agdz,Appel d'offres ouvert,3775000,3330278,2025-06-14,2025-07-02,Clôturé,Nomad Démo Transport 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-104,2025,Réhabilitation d'un réseau d'irrigation,Irrigation,Service maintenance,Agdz,Appel d'offres ouvert,2850000,2375928,2025-01-07,2025-01-31,Clôturé,Kasbah Démo Construction 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-105,2025,Travaux de réhabilitation d'un canal principal,Travaux hydrauliques,Service développement agricole,Boumalne-Dadès,Appel d'offres simplifié,6950000,6236457,2025-03-05,2025-04-01,Clôturé,Green Démo Agriculture 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-106,2025,Travaux de captage et de conduite,Travaux hydrauliques,Service des marchés,Skoura,Appel d'offres ouvert,4150000,3589454,2025-08-03,2025-09-14,Clôturé,Terroir Démo Services 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-107,2025,Maintenance préventive des installations,Maintenance,Service maintenance,Ouarzazate,Appel d'offres simplifié,4775000,3830654,2025-03-20,2025-04-18,Attribué,Smart Démo Systems 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-108,2025,Location de véhicules pour missions de terrain,Logistique,Service maintenance,Tinghir,Consultation,2300000,1849074,2025-06-08,2025-07-03,Attribué,Atlas Démo Services 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-109,2025,Étude de faisabilité d'un projet agricole,Études et assistance technique,Service équipements,Zagora,Appel d'offres ouvert,2350000,2207641,2025-03-09,2025-03-30,Clôturé,Kasbah Démo Construction 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2025-110,2025,Fourniture de matériel de conditionnement,Équipements agricoles,Service développement agricole,Agdz,Consultation,7375000,6253068,2025-08-22,2025-10-05,Clôturé,Build Démo Plus 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-111,2026,Fourniture de matériel de conditionnement,Équipements agricoles,Service irrigation,Skoura,Appel d'offres simplifié,3650000,3235873,2026-11-10,2026-12-20,Clôturé,Sahara Démo Équipements 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-112,2026,Travaux d'infrastructure de proximité,Aménagement rural,Service des marchés,Ouarzazate,Appel d'offres simplifié,1300000,1118963,2026-05-03,2026-06-07,Clôturé,Green Démo Agriculture 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-113,2026,Travaux d'amélioration de l'accès aux exploitations,Aménagement rural,Service logistique,Agdz,Appel d'offres simplifié,925000,896155,2026-09-05,2026-10-20,Attribué,Valley Démo Maintenance 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-114,2026,Construction d'ouvrages de protection hydraulique,Travaux hydrauliques,Service des marchés,Zagora,Consultation,6825000,5857890,2026-08-15,2026-09-15,Clôturé,Oasis Démo Ingénierie 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-115,2026,Acquisition de mobilier de bureau,Logistique,Service logistique,Boumalne-Dadès,Consultation,4425000,,2026-01-21,2026-02-25,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-116,2026,Prestations de transport pour équipes techniques,Logistique,Service études,Boumalne-Dadès,Consultation,1175000,1142707,2026-10-05,2026-10-30,Clôturé,Palmier Démo Logistique,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-117,2026,Fourniture de consommables et matériel logistique,Logistique,Service irrigation,Tinghir,Consultation,4350000,4035036,2026-07-21,2026-08-30,Clôturé,Sahara Démo Équipements 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-118,2026,Prestations de transport pour équipes techniques,Logistique,Service des marchés,Tinghir,Appel d'offres simplifié,6350000,5159619,2026-03-07,2026-04-01,Attribué,Kasbah Démo Construction,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-119,2026,Travaux de réhabilitation d'un canal principal,Travaux hydrauliques,Service logistique,Agdz,Appel d'offres ouvert,2225000,2095795,2026-10-13,2026-11-01,Attribué,Tafilalet Démo Solutions 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-120,2026,Aménagement de pistes rurales,Aménagement rural,Service maintenance,Tinghir,Consultation,3775000,3300387,2026-04-15,2026-05-19,Clôturé,Réseau Démo Technologies 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-121,2026,Réparation et entretien de véhicules de service,Maintenance,Service informatique,Tinghir,Consultation,3750000,,2026-10-15,2026-12-23,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-122,2026,Fourniture d'équipements de démonstration agricole,Équipements agricoles,Service équipements,Tinghir,Appel d'offres ouvert,4900000,,2026-11-16,2026-09-26,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-123,2026,Maintenance préventive des installations,Maintenance,Service équipements,Tinghir,Appel d'offres simplifié,5725000,,2026-09-05,2026-09-18,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-124,2026,Étude technique pour modernisation d'un périmètre irrigué,Études et assistance technique,Service maintenance,Ouarzazate,Appel d'offres simplifié,5075000,,2026-09-12,2026-09-20,En cours,,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-125,2026,Modernisation d'ouvrages d'irrigation,Irrigation,Service irrigation,Boumalne-Dadès,Consultation,625000,,2026-06-05,2026-11-28,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-126,2026,Fourniture de matériel de conditionnement,Équipements agricoles,Service développement agricole,Agdz,Appel d'offres ouvert,2900000,,2026-02-01,2026-10-23,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-127,2026,Entretien d'ouvrages hydro-agricoles,Travaux hydrauliques,Service informatique,Tinghir,Appel d'offres ouvert,8325000,,2026-01-08,2026-12-16,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-128,2026,Aménagement de pistes rurales,Aménagement rural,Service informatique,Boumalne-Dadès,Appel d'offres ouvert,8000000,,2026-05-14,2026-11-18,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-129,2026,Acquisition de matériel agricole,Équipements agricoles,Service logistique,Ouarzazate,Consultation,6625000,,2026-09-17,2026-09-21,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-130,2026,Fourniture de matériel de pompage,Irrigation,Service logistique,Tinghir,Consultation,1000000,,2026-01-12,2026-11-18,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-131,2026,Assistance technique pour suivi de travaux,Études et assistance technique,Service des marchés,Tinghir,Consultation,6075000,,2026-06-21,2026-12-25,En cours,,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-132,2026,Acquisition de matériel agricole,Équipements agricoles,Service développement agricole,Ouarzazate,Appel d'offres simplifié,2700000,,2026-04-02,2026-09-20,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-133,2026,Acquisition de mobilier de bureau,Logistique,Service études,Ouarzazate,Consultation,750000,,2026-04-10,2026-11-19,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-134,2026,Mission d'audit et d'accompagnement technique,Études et assistance technique,Service maintenance,Boumalne-Dadès,Appel d'offres simplifié,6500000,,2026-07-11,2026-12-20,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-135,2026,Travaux de captage et de conduite,Travaux hydrauliques,Service irrigation,Skoura,Consultation,4250000,,2026-03-18,2026-09-16,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-136,2026,Maintenance d'équipements électromécaniques,Maintenance,Service développement agricole,Agdz,Consultation,5825000,,2026-07-06,2026-11-22,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-137,2026,Mission d'audit et d'accompagnement technique,Études et assistance technique,Service études,Boumalne-Dadès,Appel d'offres ouvert,5325000,,2026-02-22,2026-11-23,En cours,,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-138,2026,Réhabilitation d'un réseau d'irrigation,Irrigation,Service développement agricole,Ouarzazate,Appel d'offres ouvert,8400000,,2026-02-08,2026-11-20,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-139,2026,Réhabilitation d'un réseau d'irrigation,Irrigation,Service développement agricole,Tinghir,Appel d'offres simplifié,1900000,,2026-08-03,2026-11-21,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-140,2026,Entretien des bâtiments administratifs,Maintenance,Service irrigation,Ouarzazate,Consultation,5100000,,2026-03-16,2026-09-19,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-141,2026,Travaux d'amélioration de l'accès aux exploitations,Aménagement rural,Service études,Boumalne-Dadès,Appel d'offres simplifié,1075000,999543,2026-04-04,2026-04-23,Attribué,Nomad Démo Transport 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-142,2026,Étude de faisabilité d'un projet agricole,Études et assistance technique,Service irrigation,Agdz,Consultation,2150000,1993148,2026-05-10,2026-06-21,Clôturé,Build Démo Plus 3,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-143,2026,Assistance technique pour suivi de travaux,Études et assistance technique,Service irrigation,Zagora,Appel d'offres ouvert,4750000,4171237,2026-04-16,2026-05-01,Clôturé,Oasis Démo Ingénierie 2,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-144,2026,Travaux de réhabilitation d'un canal principal,Travaux hydrauliques,Service études,Skoura,Consultation,5375000,4333962,2026-08-17,2026-09-14,Clôturé,Tafilalet Démo Solutions,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-145,2026,Travaux de captage et de conduite,Travaux hydrauliques,Service développement agricole,Boumalne-Dadès,Consultation,7200000,6776885,2026-06-05,2026-07-18,Clôturé,Valley Démo Maintenance,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-146,2026,Location de véhicules pour missions de terrain,Logistique,Service irrigation,Agdz,Appel d'offres ouvert,4275000,,2026-05-06,2026-05-26,Annulé,,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-147,2026,Étude de faisabilité d'un projet agricole,Études et assistance technique,Service irrigation,Tinghir,Appel d'offres ouvert,1750000,1561053,2026-11-18,2026-12-11,Clôturé,Build Démo Plus 2,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-148,2026,Fourniture d'équipements de démonstration agricole,Équipements agricoles,Service logistique,Agdz,Appel d'offres ouvert,8350000,7654756,2026-01-03,2026-01-19,Clôturé,Terroir Démo Services,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-149,2026,Fourniture de matériel de pompage,Irrigation,Service études,Boumalne-Dadès,Appel d'offres simplifié,5325000,4923542,2026-08-08,2026-09-17,Attribué,Tafilalet Démo Solutions,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-150,2026,Travaux d'infrastructure de proximité,Aménagement rural,Service développement agricole,Skoura,Appel d'offres ouvert,4150000,3876855,2026-06-20,2026-07-09,Clôturé,Atlas Démo Services 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-151,2026,Fourniture de consommables et matériel logistique,Logistique,Service logistique,Agdz,Consultation,6100000,5075584,2026-02-11,2026-03-05,Attribué,Kasbah Démo Construction 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-152,2026,Modernisation d'ouvrages d'irrigation,Irrigation,Service maintenance,Agdz,Appel d'offres simplifié,4325000,,2026-04-06,2026-05-17,Annulé,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-153,2026,Renouvellement d'équipements réseau,Informatique,Service développement agricole,Agdz,Appel d'offres simplifié,425000,,2026-08-10,2026-09-09,En cours,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-154,2026,Travaux d'amélioration de l'accès aux exploitations,Aménagement rural,Service informatique,Agdz,Appel d'offres simplifié,6475000,5940130,2026-01-02,2026-01-26,Clôturé,Infra Démo Sud 3,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-155,2026,Maintenance préventive des installations,Maintenance,Service irrigation,Skoura,Appel d'offres ouvert,5300000,4190938,2026-05-24,2026-06-19,Attribué,Sud Démo Informatique 2,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-156,2026,Étude de faisabilité d'un projet agricole,Études et assistance technique,Service irrigation,Skoura,Consultation,8125000,6557031,2026-08-18,2026-09-10,Clôturé,Hydro Démo Conseil,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-157,2026,Prestations de transport pour équipes techniques,Logistique,Service logistique,Agdz,Appel d'offres simplifié,6650000,5250266,2026-03-07,2026-04-10,Attribué,Sahara Démo Équipements,Haute,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-158,2026,Mission d'audit et d'accompagnement technique,Études et assistance technique,Service développement agricole,Zagora,Consultation,7975000,7879533,2026-09-05,2026-09-30,Attribué,Sud Démo Informatique 2,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-159,2026,Mission d'audit et d'accompagnement technique,Études et assistance technique,Service études,Skoura,Appel d'offres ouvert,1550000,,2026-06-11,2026-07-17,Annulé,,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
marché public,marchés publics,MP-2026-160,2026,Fourniture de matériel de pompage,Irrigation,Service études,Boumalne-Dadès,Consultation,800000,712071,2026-10-08,2026-11-15,Clôturé,Réseau Démo Technologies,Normale,SYNTHETIQUE_DEMONSTRATION_NON_OFFICIELLE
